State,Income 2014,,,
1,Maryland,MD,76165,Alabama - AL
2,New Hampshire,NH,73397,Alaska - AK
3,Hawaii,HI,71223,Arizona - AZ
4,Connecticut,CT,70161,Arkansas - AR
5,D.C.,DC,68277,California - CA
6,Alaska,AK,67629,Colorado - CO
7,Minnesota,MN,67244,Connecticut - CT
8,Virginia,VA,66155,Delaware - DE
9,New Jersey,NJ,65243,Florida - FL
10,Utah,UT,63383,Georgia - GA
11,Massachusetts,MA,63151,Hawaii - HI
12,Colorado,CO,60940,Idaho - ID
13,North Dakota,ND,60730,Illinois - IL
14,Vermont,VT,60708,Indiana - IN
15,California,CA,60487,Iowa - IA
16,Washington,WA,59068,Kansas - KS
17,Oregon,OR,58875,Kentucky - KY
18,Rhode Island,RI,58633,Louisiana - LA
19,Wisconsin,WI,58080,Maine - ME
20,Iowa,IA,57810,Maryland - MD
21,Delaware,DE,57522,Massachusetts - MA
22,Nebraska,NE,56870,Michigan - MI
23,Missouri,MO,56630,Minnesota - MN
24,Wyoming,WY,55690,Mississippi - MS
25,Pennsylvania,PA,55173,Missouri - MO
26,Illinois,IL,54916,Montana - MT
27,New York,NY,54310,Nebraska - NE
28,Texas,TX,53875,Nevada - NV
29,Kansas,KS,53444,New Hampshire - NH
30,Idaho,ID,53438,New Jersey - NJ
31,South Dakota,SD,53053,New Mexico - NM
32,Michigan,MI,52005,New York - NY
33,Maine,ME,51710,North Carolina - NC
34,Montana,MT,51102,North Dakota - ND
35,Nevada,NV,49875,Ohio - OH
36,Ohio,OH,49644,Oklahoma - OK
37,Georgia,GA,49555,Oregon - OR
38,Arizona,AZ,49254,Pennsylvania - PA
39,Indiana,IN,48060,Rhode Island - RI
40,Oklahoma,OK,47199,South Carolina - SC
41,North Carolina,NC,46784,South Dakota - SD
42,New Mexico,NM,46686,Tennessee - TN
43,Florida,FL,46140,Texas - TX
44,South Carolina,SC,44929,Utah - UT
45,Arkansas,AR,44922,Vermont - VT
46,Tennessee,TN,43716,Virginia - VA
47,Kentucky,KY,42786,Washington - WA
48,Louisiana,LA,42406,West Virginia - WV
49,Alabama,AL,42278,Wisconsin - WI
50,West Virginia,WV,39552,Wyoming - WY
51,Mississippi,MS,35521,D.C.